Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2000-01-03,40.911033630371094,41.00540964655416,39.14624571249916,39.14624571249916,3528277
2000-01-04,39.297245025634766,41.33571891762288,38.881998813179095,40.958222360845,3544397
2000-01-05,40.25041961669922,41.10921955693298,36.617025716394764,36.617025716394764,5849540
2000-01-06,41.92083740234375,43.39306648376146,40.580726482046245,40.580726482046245,10274966
2000-01-07,45.280540466308594,45.280540466308594,42.10958070063302,42.27945602772865,11477451
2000-01-10,48.85730743408203,48.904495441790594,46.80939524158757,48.88561873578472,8978430
2000-01-11,44.950233459472656,49.07436934221809,44.950233459472656,49.07436934221809,6303356
2000-01-12,45.34660339355469,46.43190508864783,43.2231955283694,45.299419140472715,4897855
2000-01-13,44.44061279296875,46.243154105699396,43.713934759006065,45.86565755923588,2952315
2000-01-14,45.1201057434082,45.86565671227354,43.9781815294226,44.34623971610138,5347397
2000-01-17,47.30957794189453,48.71574983878363,45.85622554932277,45.85622554932277,7738816
2000-01-18,46.80939865112305,47.65876406521323,46.25259590029095,47.37564351295197,4134762
2000-01-19,47.28126525878906,48.67799876139572,45.79015949565221,47.37564127662548,6371852
2000-01-20,44.4878044128418,47.18689554594646,44.091434885524485,47.18689554594646,2911586
2000-01-21,43.82718276977539,44.12918000037826,42.56257500258494,43.43081328326215,3633756
2000-01-24,40.3259162902832,44.52555136566165,40.3259162902832,43.41193840947733,5871546
2000-01-25,37.10777282714844,38.6743779151671,37.10777282714844,37.8155741805057,3684802
2000-01-26,37.10777282714844,37.10777282714844,37.10777282714844,37.10777282714844,0
2000-01-27,34.144432067871094,36.42828047563035,34.144432067871094,35.86203567140268,9020093
2000-01-28,33.068572998046875,34.35205748004561,31.775650163197326,32.275834019311745,13942903
2000-01-31,33.917938232421875,35.616665146967094,32.096524003111,32.30414522135498,14875954
2000-02-01,33.08744812011719,34.89942412120813,32.48345737218898,33.955686464085495,6294485
2000-02-02,33.99343490600586,35.27691942646131,33.66313011939111,34.729551304304294,4676810
2000-02-03,33.47438430786133,34.304873026723605,33.36113533383832,33.97456445848311,2037576
2000-02-04,33.7763786315918,33.965126926195545,32.61558131641192,33.78581698564862,4201025
2000-02-07,33.5593147277832,34.446429719985574,33.09688428329557,33.61594108755467,2468149
2000-02-08,34.08781051635742,34.89942245813074,33.31394447205622,33.785813278131364,3504831
2000-02-09,34.663490295410156,36.23953370221347,34.352058458219794,35.10704780435603,4440835
2000-02-10,34.18218231201172,34.899421985785,33.97456109219442,34.899421985785,1445348
2000-02-11,32.03990173339844,34.8805532255085,31.53028321825116,34.710681639561585,4107804
2000-02-14,29.784366607666016,32.08708816648583,29.48237123078706,32.08708816648583,3657229
2000-02-15,31.294347763061523,31.89834040538711,29.444622057176808,29.831555107852243,5135881
2000-02-16,31.115036010742188,32.42682995905111,30.98291221699883,32.42682995905111,1652627
2000-02-17,31.39815902709961,32.4645839933249,30.87910219535295,31.143347909246184,1841955
2000-02-18,29.104875564575195,31.520846013248306,28.887815983762817,31.33209585621351,2747217
2000-02-21,31.4359073638916,31.4359073638916,28.31213378712189,28.31213378712189,3511793
2000-02-22,33.955684661865234,33.955684661865234,32.143708756946104,32.82320253927037,3318248
2000-02-23,31.719026565551758,36.617024305136795,31.379281567989153,35.84316205638246,6547748
2000-02-24,32.134281158447266,33.011954243108335,31.322665287041097,32.25696474454584,2448914
2000-02-25,34.52193069458008,34.71067897408607,31.435908535902442,32.92701430804039,4658556
2000-02-28,34.17274856567383,34.729551283321875,32.86095274391625,34.729551283321875,3399023
2000-02-29,31.44534683227539,34.616304961107375,31.44534683227539,33.98400288476394,4357555
