Price,Date,Close,High,Low,Open,Volume
Ticker,,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
0,2000-01-03,40.91103744506836,41.0054134700514,39.14624936264102,39.14624936264102,3528277
1,2000-01-04,39.297245025634766,41.33571891762288,38.881998813179095,40.958222360845,3544397
2,2000-01-05,40.250423431396484,41.10922345302223,36.617029186740396,36.617029186740396,5849540
3,2000-01-06,41.92083740234375,43.39306648376146,40.580726482046245,40.580726482046245,10274966
4,2000-01-07,45.280540466308594,45.280540466308594,42.10958070063302,42.27945602772865,11477451
5,2000-01-10,48.8573112487793,48.90449926017222,46.80939889638726,48.88562255269248,8978430
6,2000-01-11,44.95023727416992,49.07437350690976,44.95023727416992,49.07437350690976,6303356
7,2000-01-12,45.34660339355469,46.43190508864783,43.2231955283694,45.299419140472715,4897855
8,2000-01-13,44.440616607666016,46.24315807512337,43.71393851132668,45.865661496256266,2952315
9,2000-01-14,45.12010955810547,45.865660590003706,43.97818524757543,44.346243465371835,5347397
10,2000-01-17,47.30957794189453,48.71574983878363,45.85622554932277,45.85622554932277,7738816
11,2000-01-18,46.80939865112305,47.65876406521323,46.25259590029095,47.37564351295197,4134762
12,2000-01-19,47.28126525878906,48.67799876139572,45.79015949565221,47.37564127662548,6371852
13,2000-01-20,44.4878044128418,47.18689554594646,44.091434885524485,47.18689554594646,2911586
14,2000-01-21,43.82718276977539,44.12918000037826,42.56257500258494,43.43081328326215,3633756
15,2000-01-24,40.32592010498047,44.5255555776304,40.32592010498047,43.411942516102,5871546
16,2000-01-25,37.10777282714844,38.6743779151671,37.10777282714844,37.8155741805057,3684802
17,2000-01-26,37.10777282714844,37.10777282714844,37.10777282714844,37.10777282714844,0
18,2000-01-27,34.14443588256836,36.4282845454846,34.14443588256836,35.86203967799471,9020093
19,2000-01-28,33.06857681274414,34.35206144280202,31.775653828746663,32.27583774256088,13942903
20,2000-01-31,33.917938232421875,35.616665146967094,32.096524003111,32.30414522135498,14875954
21,2000-02-01,33.08744812011719,34.89942412120813,32.48345737218898,33.955686464085495,6294485
22,2000-02-02,33.99343490600586,35.27691942646131,33.66313011939111,34.729551304304294,4676810
23,2000-02-03,33.47438049316406,34.304869117384925,33.361131532046755,33.97456058678596,2037576
24,2000-02-04,33.776371002197266,33.96511925416663,32.61557394921781,33.78580935412216,4201025
25,2000-02-07,33.55931854248047,34.446433635521466,33.09688804542824,33.61594490868867,2468149
26,2000-02-08,34.08781433105469,34.899426363653845,33.31394820015172,33.78581705903274,3504831
27,2000-02-09,34.66349411010742,36.239537690353416,34.352062238644166,35.10705166786654,4440835
28,2000-02-10,34.18218231201172,34.899421985785,33.97456109219442,34.899421985785,1445348
29,2000-02-11,32.03989791870117,34.880549072600914,31.530279464229498,34.71067750687905,4107804
30,2000-02-14,29.784366607666016,32.08708816648583,29.48237123078706,32.08708816648583,3657229
31,2000-02-15,31.29434585571289,31.898338461225933,29.444620262566485,29.831553289658867,5135881
32,2000-02-16,31.11503791809082,32.426831946812584,30.982914116248285,32.426831946812584,1652627
33,2000-02-17,31.39815902709961,32.4645839933249,30.87910219535295,31.143347909246184,1841955
34,2000-02-18,29.104877471923828,31.520848078924292,28.88781787688674,31.332097909520005,2747217
35,2000-02-21,31.435909271240234,31.435909271240234,28.312135504938052,28.312135504938052,3511793
36,2000-02-22,33.955684661865234,33.955684661865234,32.143708756946104,32.82320253927037,3318248
37,2000-02-23,31.719030380249023,36.61702870889308,31.379285341826897,35.84316636706999,6547748
38,2000-02-24,32.134273529052734,33.011946405334655,31.322657850342264,32.2569570860235,2448914
39,2000-02-25,34.52193069458008,34.71067897408607,31.435908535902442,32.92701430804039,4658556
40,2000-02-28,34.17274856567383,34.729551283321875,32.86095274391625,34.729551283321875,3399023
41,2000-02-29,31.44534683227539,34.616304961107375,31.44534683227539,33.98400288476394,4357555
42,2000-03-01,29.746618270874023,32.464586176673436,29.067128173077432,31.520848468558967,7644786
43,2000-03-02,27.70814323425293,30.907416355599047,27.50995847289306,30.765854201496403,6852856
44,2000-03-03,25.499797821044922,26.783282418290966,25.499797821044922,25.858417688516667,6378720
45,2000-03-06,26.1887264251709,27.547708467713203,25.688544399493313,26.40578601782724,8897556
46,2000-03-07,24.933555603027344,26.349162166292977,24.537186065897487,24.537186065897487,5675894
47,2000-03-08,24.065317153930664,25.311050250310455,23.59344642198386,25.292175421032585,3117111
48,2000-03-09,25.990541458129883,25.990541458129883,23.819943669887873,24.15968870820325,3438151
49,2000-03-10,24.423933029174805,26.42465709015493,24.018125205527447,24.53718198628378,3519688
50,2000-03-13,22.715770721435547,25.178925518980368,22.564772092768123,24.895804968882135,3513948
51,2000-03-14,24.537185668945312,24.537185668945312,22.61195874510403,23.178201736980498,4396990
52,2000-03-15,25.5186710357666,26.29253520799448,24.537183760493004,25.48092138066738,4038499
53,2000-03-16,27.44389533996582,27.56658265572167,25.292172560279035,25.669669103138503,5782750
54,2000-03-17,27.44389533996582,27.44389533996582,27.44389533996582,27.44389533996582,0
55,2000-03-20,27.44389533996582,27.44389533996582,27.44389533996582,27.44389533996582,0
56,2000-03-21,28.227197647094727,28.87837636090334,25.52810677816549,26.990901174680225,5317329
57,2000-03-22,27.66095733642578,28.972753241168864,26.896529588136065,28.878379097184972,3838207
58,2000-03-23,25.70741844177246,27.840266523992607,25.57529652239173,27.74589426119299,2233876
59,2000-03-24,25.528108596801758,25.830105850449844,24.763680866484787,24.763680866484787,1619042
60,2000-03-27,25.54698371887207,26.00941607951077,25.131739368984995,25.480922758203622,1540735
61,2000-03-28,25.197803497314453,25.858418773752646,24.565497647199685,25.339361900851262,2961249
62,2000-03-29,25.462047576904297,26.40578523502479,25.10342771769527,25.528108536657594,4678469
63,2000-03-30,23.923757553100586,25.22611517430055,23.433011977938886,25.20724034448664,4667469
64,2000-03-31,25.726293563842773,25.83954253487935,22.932830216859724,23.46132353637722,5272686
65,2000-04-03,26.93427848815918,27.538271114014606,25.48092234764487,26.047165316968513,8754650
66,2000-04-04,24.782554626464844,26.613407261819034,24.782554626464844,26.613407261819034,3347962
67,2000-04-05,25.207237243652344,25.66966957788103,23.640632197771428,23.87656660209551,2701614
68,2000-04-06,24.291812896728516,25.669671657995316,23.197076570784986,25.12230349502355,3187158
